User_ID,Mthly_HH_Income,Mthly_HH_Expense,Emi_or_Rent_Amt,No_of_Earning_Members,Savings_Amount,Debt_to_Income_Ratio,Investment_Horizon,Risk_Tolerance,Preferred_Investment_Type,Investment_Experience,Market_Volatility_Tolerance,Short_Term_Goal,Mid_Term_Goal,Long_Term_Goal,Goal_Based_Investing
2034,19496.1,19341.25,2398.75,2,-2243.9,0.77,Short,Moderate,Debt,Expert,High,Vacation,Education Fund,Retirement,Yes
2035,12953.49,11056.2,3057.57,4,-1160.28,0.13,Long,High,Mutual Fund,Expert,Medium,Vacation,Home Renovation,Long-Term Security,Yes
2036,8291.11,8871.09,1062.94,2,-1642.91,0.61,Short,Moderate,Debt,Intermediate,Low,Short-Term Savings,Car Purchase,Long-Term Security,Yes
2037,4053.72,3459.06,1324.73,3,-730.06,0.68,Long,Moderate,Equity,Intermediate,High,Short-Term Savings,Home Renovation,Retirement,No
2038,4722.44,3092.59,1834.09,2,-204.24,0.71,Long,High,Equity,Expert,High,Short-Term Savings,Education Fund,Wealth Accumulation,No
2039,6055.7,6377.93,463.83,5,-786.05,0.26,Short,Low,Money Market,Beginner,Low,Emergency Fund,Education Fund,Wealth Accumulation,Yes
2040,6517.4,5619.25,355.62,4,542.53,0.22,Short,Low,Bonds,Expert,Low,Emergency Fund,Car Purchase,Retirement,No
2041,17311.09,10982.96,3761.22,5,2566.91,0.04,Long,High,Equity,Beginner,High,Vacation,Education Fund,Long-Term Security,No
2042,12102.01,10955.71,2086.96,5,-940.66,0.32,Long,Low,Mutual Fund,Intermediate,High,Vacation,Education Fund,Retirement,No
2043,11421.04,8366.09,3871.96,4,-817.01,0.1,Medium,Moderate,Equity,Intermediate,High,Emergency Fund,Education Fund,Retirement,No
2044,4065.84,4264.51,390.45,1,-589.12,0.63,Short,Low,Money Market,Intermediate,Medium,Emergency Fund,Car Purchase,Retirement,Yes
2045,17482.51,13892.39,5060.72,2,-1470.6,0.11,Medium,High,Mutual Fund,Expert,Medium,Short-Term Savings,Car Purchase,Wealth Accumulation,No
2046,15010.66,14593.16,1467.54,3,-1050.05,0.66,Short,Moderate,Debt,Beginner,Low,Emergency Fund,Car Purchase,Retirement,No
2047,3218.03,1808.85,1493.66,1,-84.48,0.09,Long,Low,Mutual Fund,Intermediate,High,Emergency Fund,Car Purchase,Long-Term Security,No
2048,14741.03,11165.09,937.79,3,2638.15,0.38,Medium,High,Mutual Fund,Beginner,High,Short-Term Savings,Education Fund,Wealth Accumulation,Yes
2049,11783.69,13422.88,116.66,4,-1755.86,0.31,Long,High,Real Estate,Intermediate,Medium,Emergency Fund,Car Purchase,Retirement,No
2050,3471.06,3559.57,98.63,2,-187.14,0.48,Short,Moderate,Debt,Beginner,Medium,Short-Term Savings,Education Fund,Retirement,Yes
2051,10249.41,6190.25,5442.33,1,-1383.17,0.42,Short,Low,Money Market,Expert,Low,Emergency Fund,Home Renovation,Long-Term Security,Yes
2052,10724.53,7298.54,423.58,4,3002.41,0.48,Long,High,Mutual Fund,Beginner,Medium,Short-Term Savings,Education Fund,Wealth Accumulation,No
2053,4983.94,3560.43,1939.89,1,-516.38,0.0,Long,Low,Real Estate,Intermediate,High,Vacation,Home Renovation,Long-Term Security,Yes
2054,19022.57,17552.84,1231.91,5,237.82,0.1,Long,Moderate,Mutual Fund,Beginner,High,Short-Term Savings,Education Fund,Long-Term Security,No
2055,17299.56,17161.97,1685.18,2,-1547.59,0.41,Long,High,Real Estate,Intermediate,Low,Short-Term Savings,Education Fund,Retirement,Yes
2056,14042.4,13862.55,2737.18,2,-2557.33,0.18,Long,Moderate,Equity,Intermediate,High,Short-Term Savings,Home Renovation,Long-Term Security,No
2057,10321.32,8581.33,2229.05,4,-489.07,0.06,Long,Moderate,Equity,Expert,High,Short-Term Savings,Home Renovation,Wealth Accumulation,Yes
2058,9411.78,9666.21,342.06,4,-596.49,0.17,Long,High,Equity,Beginner,High,Vacation,Education Fund,Wealth Accumulation,Yes
2059,13717.52,10755.92,1620.76,4,1340.84,0.62,Short,Low,Bonds,Beginner,Low,Emergency Fund,Home Renovation,Retirement,Yes
2060,11817.77,6860.48,6738.45,2,-1781.16,0.43,Medium,Low,Mutual Fund,Intermediate,High,Emergency Fund,Home Renovation,Long-Term Security,No
2061,3120.92,2705.48,444.07,5,-28.63,0.15,Long,High,Equity,Intermediate,High,Short-Term Savings,Education Fund,Retirement,No
2062,11225.05,12560.78,533.73,2,-1869.47,0.01,Short,Low,Debt,Intermediate,Low,Short-Term Savings,Education Fund,Retirement,Yes
2063,16515.27,16770.36,1401.86,4,-1656.95,0.29,Medium,High,Mutual Fund,Expert,High,Emergency Fund,Home Renovation,Retirement,No
2064,10266.32,8994.89,1258.19,3,13.24,0.29,Long,Moderate,Equity,Beginner,High,Vacation,Car Purchase,Wealth Accumulation,Yes
2065,2935.22,2701.64,183.23,5,50.35,0.59,Long,High,Mutual Fund,Intermediate,Medium,Short-Term Savings,Education Fund,Retirement,No
2066,16153.01,17846.9,1054.48,2,-2748.37,0.74,Medium,Moderate,Equity,Expert,Medium,Short-Term Savings,Car Purchase,Long-Term Security,Yes
2067,5624.55,4378.28,1703.08,3,-456.81,0.3,Medium,Low,Mutual Fund,Expert,High,Vacation,Car Purchase,Retirement,No
2068,6655.18,4761.15,886.52,5,1007.5,0.55,Long,High,Equity,Intermediate,High,Short-Term Savings,Education Fund,Wealth Accumulation,No
2069,4964.71,5635.98,253.81,2,-925.07,0.51,Long,High,Mutual Fund,Beginner,Medium,Vacation,Car Purchase,Retirement,No
2070,7943.87,8430.34,941.96,4,-1428.43,0.34,Long,Low,Mutual Fund,Expert,High,Vacation,Car Purchase,Long-Term Security,Yes
2071,15621.53,11090.95,7047.66,2,-2517.08,0.05,Long,Low,Equity,Intermediate,Low,Emergency Fund,Car Purchase,Wealth Accumulation,No
2072,11348.95,9095.7,729.17,5,1524.08,0.38,Short,Low,Debt,Beginner,Low,Vacation,Home Renovation,Long-Term Security,No
2073,5687.86,4378.52,743.68,4,565.67,0.28,Medium,Moderate,Equity,Intermediate,High,Vacation,Home Renovation,Retirement,Yes
2074,17800.94,10625.6,9236.35,1,-2061.01,0.44,Short,Low,Bonds,Beginner,Medium,Vacation,Home Renovation,Retirement,Yes
2075,17832.47,20018.42,274.09,3,-2460.04,0.1,Long,High,Real Estate,Intermediate,Medium,Short-Term Savings,Home Renovation,Long-Term Security,Yes
2076,17670.41,13479.04,26.8,4,4164.57,0.58,Long,Moderate,Equity,Intermediate,High,Emergency Fund,Education Fund,Wealth Accumulation,No
2077,6298.33,6732.69,718.7,4,-1153.06,0.63,Medium,Moderate,Debt,Beginner,Low,Short-Term Savings,Home Renovation,Long-Term Security,Yes
2078,10122.31,6307.02,1906.38,5,1908.9,0.31,Long,Moderate,Equity,Expert,High,Short-Term Savings,Car Purchase,Wealth Accumulation,Yes
2079,19729.81,16891.01,2812.27,5,26.53,0.14,Long,High,Equity,Beginner,Low,Emergency Fund,Car Purchase,Wealth Accumulation,No
2080,15896.22,8195.69,4856.01,3,2844.52,0.5,Medium,High,Debt,Beginner,High,Emergency Fund,Car Purchase,Retirement,Yes
2081,2489.01,2480.91,429.15,5,-421.04,0.76,Long,High,Mutual Fund,Beginner,Medium,Vacation,Home Renovation,Retirement,Yes
2082,3173.68,2785.2,345.74,4,42.74,0.56,Medium,Moderate,Mutual Fund,Beginner,High,Emergency Fund,Education Fund,Wealth Accumulation,No
2083,10350.76,9384.35,2709.47,3,-1743.05,0.1,Short,Low,Bonds,Beginner,Medium,Short-Term Savings,Education Fund,Retirement,Yes
2084,18365.96,9800.42,7550.56,3,1014.99,0.32,Long,High,Equity,Intermediate,High,Vacation,Education Fund,Wealth Accumulation,Yes
2085,11696.63,7452.8,3471.21,2,772.62,0.73,Short,Low,Money Market,Beginner,Low,Vacation,Car Purchase,Long-Term Security,No
2086,10960.63,6009.88,2325.82,4,2624.93,0.51,Short,Low,Debt,Beginner,Medium,Emergency Fund,Car Purchase,Long-Term Security,No
2087,3898.53,2681.38,486.66,4,730.49,0.12,Long,High,Mutual Fund,Expert,Low,Short-Term Savings,Car Purchase,Long-Term Security,Yes
2088,13822.04,12548.14,2520.14,5,-1246.24,0.58,Medium,High,Equity,Beginner,Low,Vacation,Home Renovation,Long-Term Security,Yes
2089,16797.86,14580.89,2492.12,4,-275.16,0.28,Short,Low,Debt,Expert,Low,Emergency Fund,Home Renovation,Long-Term Security,No
2090,8847.56,7944.2,2433.69,5,-1530.33,0.39,Medium,High,Equity,Beginner,Medium,Vacation,Home Renovation,Long-Term Security,No
2091,15961.01,13678.8,2691.43,4,-409.22,0.33,Short,Moderate,Debt,Intermediate,Low,Emergency Fund,Education Fund,Long-Term Security,No
2092,19360.58,13116.19,5177.58,2,1066.81,0.58,Short,Low,Debt,Beginner,Low,Short-Term Savings,Education Fund,Wealth Accumulation,No
2093,5667.8,3734.68,1277.95,4,655.16,0.17,Short,Moderate,Money Market,Beginner,Low,Emergency Fund,Education Fund,Retirement,Yes
2094,11419.93,6727.35,5506.34,2,-813.77,0.31,Medium,High,Equity,Intermediate,Medium,Emergency Fund,Home Renovation,Long-Term Security,No
2095,7168.48,7540.5,451.04,4,-823.06,0.6,Medium,High,Debt,Beginner,Medium,Short-Term Savings,Education Fund,Wealth Accumulation,Yes
2096,16271.38,14655.82,1311.65,4,303.91,0.56,Short,Low,Money Market,Beginner,Low,Short-Term Savings,Education Fund,Wealth Accumulation,Yes
2097,12396.68,7701.22,6184.9,1,-1489.44,0.16,Long,Low,Mutual Fund,Intermediate,Medium,Emergency Fund,Education Fund,Retirement,No
2098,13422.48,8257.33,4684.9,4,480.26,0.28,Short,Low,Debt,Beginner,Low,Emergency Fund,Education Fund,Wealth Accumulation,Yes
2099,16362.45,17466.48,1282.67,2,-2386.7,0.01,Medium,Moderate,Mutual Fund,Beginner,High,Short-Term Savings,Education Fund,Long-Term Security,No
2100,9127.47,8970.25,1211.09,3,-1053.87,0.42,Short,Low,Debt,Beginner,Low,Vacation,Home Renovation,Retirement,Yes
2101,18471.62,17152.92,3603.56,2,-2284.86,0.22,Short,Low,Bonds,Expert,Low,Vacation,Education Fund,Retirement,No
2102,11594.52,8863.57,1580.95,4,1150.0,0.01,Medium,Low,Mutual Fund,Beginner,Low,Emergency Fund,Education Fund,Retirement,Yes
2103,4843.19,3246.31,86.83,5,1510.05,0.34,Medium,Low,Mutual Fund,Beginner,Low,Short-Term Savings,Home Renovation,Retirement,Yes
2104,14526.18,16511.09,746.02,1,-2730.92,0.74,Long,Moderate,Equity,Beginner,Medium,Vacation,Car Purchase,Wealth Accumulation,Yes
2105,16278.7,16575.07,381.48,5,-677.84,0.74,Long,High,Equity,Beginner,Low,Short-Term Savings,Education Fund,Retirement,Yes
2106,7701.71,5361.6,2800.99,1,-460.88,0.3,Long,High,Mutual Fund,Beginner,High,Vacation,Car Purchase,Retirement,No
2107,17429.23,18316.67,213.89,1,-1101.33,0.36,Medium,Moderate,Debt,Intermediate,Medium,Emergency Fund,Home Renovation,Wealth Accumulation,No
2108,18310.58,18188.0,1420.42,5,-1297.85,0.19,Long,Moderate,Equity,Expert,High,Vacation,Education Fund,Wealth Accumulation,No
2109,6984.28,4840.82,223.13,4,1920.33,0.05,Long,Moderate,Mutual Fund,Beginner,Low,Short-Term Savings,Car Purchase,Long-Term Security,Yes
2110,19703.39,15314.64,4349.74,2,39.01,0.56,Long,Moderate,Real Estate,Beginner,High,Vacation,Car Purchase,Long-Term Security,No
2111,4532.81,2814.28,1714.54,5,3.99,0.64,Medium,Moderate,Debt,Intermediate,Medium,Short-Term Savings,Home Renovation,Long-Term Security,Yes
2112,5636.28,3224.99,606.62,3,1804.67,0.7,Medium,Moderate,Mutual Fund,Beginner,High,Emergency Fund,Home Renovation,Retirement,No
2113,5316.05,5155.48,454.79,1,-294.22,0.75,Short,Low,Debt,Beginner,Medium,Emergency Fund,Car Purchase,Retirement,No
2114,18091.81,12191.76,8854.41,2,-2954.35,0.73,Short,Moderate,Bonds,Beginner,Low,Emergency Fund,Education Fund,Wealth Accumulation,No
2115,13777.27,14232.45,1017.62,3,-1472.8,0.02,Long,Low,Real Estate,Expert,Medium,Short-Term Savings,Education Fund,Wealth Accumulation,Yes
2116,4737.88,5435.04,200.97,2,-898.13,0.78,Long,High,Mutual Fund,Intermediate,High,Short-Term Savings,Home Renovation,Wealth Accumulation,Yes
2117,9925.82,5457.25,5983.81,4,-1515.23,0.3,Long,High,Equity,Beginner,High,Vacation,Education Fund,Wealth Accumulation,No
2118,13075.36,10558.0,5000.77,3,-2483.4,0.71,Long,High,Real Estate,Expert,High,Short-Term Savings,Home Renovation,Retirement,No
2119,3502.35,3577.1,562.11,5,-636.85,0.35,Short,Low,Bonds,Expert,Low,Vacation,Home Renovation,Retirement,No
2120,17883.49,18112.73,1062.5,2,-1291.74,0.34,Long,Moderate,Mutual Fund,Beginner,High,Vacation,Home Renovation,Retirement,Yes
2121,16464.86,16366.04,3264.85,5,-3166.03,0.01,Long,High,Mutual Fund,Intermediate,High,Vacation,Education Fund,Retirement,No
2122,11093.72,8063.44,4264.29,5,-1234.0,0.04,Long,High,Equity,Beginner,High,Emergency Fund,Home Renovation,Retirement,Yes
2123,19408.28,15429.67,6580.42,2,-2601.81,0.54,Long,Low,Mutual Fund,Beginner,High,Emergency Fund,Car Purchase,Retirement,No
2124,9519.7,8441.4,45.25,2,1033.05,0.75,Medium,Moderate,Mutual Fund,Intermediate,Medium,Vacation,Home Renovation,Long-Term Security,Yes
2125,19713.99,22337.16,1259.24,1,-3882.41,0.18,Long,High,Mutual Fund,Intermediate,High,Short-Term Savings,Car Purchase,Long-Term Security,No
2126,14022.56,9996.76,5314.6,1,-1288.8,0.08,Short,Low,Money Market,Beginner,Low,Short-Term Savings,Education Fund,Long-Term Security,No
2127,13424.08,14767.08,1030.48,3,-2373.47,0.17,Long,Moderate,Equity,Beginner,High,Short-Term Savings,Car Purchase,Retirement,Yes
2128,4987.19,3366.76,213.42,3,1407.01,0.17,Medium,Low,Debt,Intermediate,Low,Vacation,Home Renovation,Long-Term Security,No
2129,17874.7,20428.97,237.38,3,-2791.64,0.23,Long,Moderate,Equity,Beginner,High,Vacation,Home Renovation,Retirement,Yes
2130,9694.81,9071.16,2465.91,1,-1842.25,0.08,Short,Moderate,Debt,Beginner,Low,Vacation,Home Renovation,Long-Term Security,No
2131,4920.2,3942.47,982.21,5,-4.48,0.19,Medium,High,Mutual Fund,Beginner,High,Short-Term Savings,Education Fund,Retirement,Yes
2132,2226.94,2001.36,266.95,4,-41.37,0.74,Short,Low,Money Market,Intermediate,Low,Emergency Fund,Education Fund,Wealth Accumulation,Yes
2133,12075.6,8176.94,5303.21,4,-1404.54,0.71,Short,Moderate,Money Market,Intermediate,High,Short-Term Savings,Home Renovation,Wealth Accumulation,Yes
2134,11493.19,7794.83,523.78,2,3174.58,0.25,Short,Moderate,Bonds,Beginner,High,Vacation,Education Fund,Retirement,No
2135,14948.37,8577.53,3902.79,1,2468.05,0.8,Medium,Moderate,Debt,Beginner,High,Emergency Fund,Car Purchase,Wealth Accumulation,No
2136,18024.64,10348.54,4238.29,2,3437.81,0.24,Medium,High,Debt,Expert,Low,Short-Term Savings,Car Purchase,Wealth Accumulation,No
2137,3429.32,2489.64,568.7,4,370.98,0.58,Medium,Moderate,Mutual Fund,Beginner,Medium,Short-Term Savings,Education Fund,Long-Term Security,Yes
2138,15166.94,15104.09,952.69,2,-889.84,0.52,Short,Low,Bonds,Beginner,High,Short-Term Savings,Education Fund,Wealth Accumulation,Yes
2139,5373.41,4810.18,344.09,1,219.15,0.05,Short,Low,Debt,Intermediate,Low,Vacation,Home Renovation,Long-Term Security,No
2140,17447.19,9886.97,1910.6,1,5649.61,0.27,Long,High,Mutual Fund,Beginner,High,Vacation,Home Renovation,Wealth Accumulation,No
2141,16743.14,17646.5,1565.97,1,-2469.32,0.76,Medium,Moderate,Equity,Intermediate,High,Vacation,Car Purchase,Long-Term Security,No
2142,11734.29,10453.95,3334.83,4,-2054.49,0.04,Medium,Low,Mutual Fund,Beginner,High,Emergency Fund,Home Renovation,Wealth Accumulation,Yes
2143,14784.37,16625.85,567.57,1,-2409.05,0.14,Medium,Low,Mutual Fund,Beginner,Low,Short-Term Savings,Education Fund,Long-Term Security,Yes
2144,7658.3,7165.26,603.31,3,-110.27,0.78,Short,Low,Debt,Beginner,Low,Short-Term Savings,Car Purchase,Long-Term Security,No
2145,10481.02,6433.92,977.77,3,3069.33,0.03,Long,High,Equity,Beginner,High,Short-Term Savings,Home Renovation,Long-Term Security,Yes
2146,16789.46,13565.2,5464.13,1,-2239.87,0.36,Long,High,Real Estate,Intermediate,High,Vacation,Education Fund,Wealth Accumulation,Yes
2147,10266.77,9461.07,2777.55,3,-1971.85,0.73,Medium,Moderate,Equity,Intermediate,High,Short-Term Savings,Education Fund,Wealth Accumulation,Yes
2148,8440.37,4375.25,2008.76,1,2056.36,0.75,Long,High,Real Estate,Intermediate,Medium,Emergency Fund,Home Renovation,Long-Term Security,No
2149,10895.82,5553.51,2188.38,4,3153.94,0.78,Long,High,Mutual Fund,Intermediate,High,Emergency Fund,Car Purchase,Wealth Accumulation,Yes
2150,16908.49,9876.45,6263.79,3,768.25,0.39,Short,Low,Debt,Beginner,Low,Emergency Fund,Education Fund,Wealth Accumulation,Yes
2151,8033.74,5331.05,3341.24,4,-638.54,0.07,Short,Low,Bonds,Expert,Low,Short-Term Savings,Car Purchase,Wealth Accumulation,No
2152,5127.71,3995.55,982.62,3,149.54,0.62,Medium,Moderate,Mutual Fund,Intermediate,High,Emergency Fund,Car Purchase,Retirement,No
2153,14816.25,12102.45,3576.96,5,-863.16,0.57,Short,Low,Debt,Intermediate,Low,Short-Term Savings,Home Renovation,Wealth Accumulation,No
2154,16867.61,9947.13,7376.15,5,-455.68,0.46,Long,High,Equity,Beginner,Low,Emergency Fund,Education Fund,Long-Term Security,No
2155,3811.47,3574.04,960.34,4,-722.9,0.71,Medium,Low,Equity,Beginner,Low,Short-Term Savings,Home Renovation,Wealth Accumulation,Yes
2156,6317.73,5606.92,325.84,3,384.97,0.73,Long,High,Equity,Expert,Medium,Emergency Fund,Car Purchase,Long-Term Security,Yes
2157,4555.5,3149.68,2310.85,5,-905.03,0.55,Long,High,Mutual Fund,Beginner,High,Emergency Fund,Home Renovation,Long-Term Security,No
2158,8262.95,4204.84,2239.49,1,1818.62,0.09,Long,High,Mutual Fund,Intermediate,High,Emergency Fund,Education Fund,Long-Term Security,No
2159,10106.32,5563.24,4747.34,2,-204.25,0.08,Medium,Low,Mutual Fund,Beginner,Medium,Short-Term Savings,Education Fund,Wealth Accumulation,Yes
2160,15478.87,11680.38,3946.38,5,-147.89,0.33,Short,Moderate,Debt,Beginner,Low,Emergency Fund,Car Purchase,Long-Term Security,Yes
2161,13720.66,8233.54,4005.89,5,1481.23,0.23,Long,Moderate,Equity,Expert,High,Vacation,Car Purchase,Wealth Accumulation,No
2162,13176.71,9815.77,4185.86,1,-824.91,0.11,Short,Moderate,Debt,Expert,Low,Emergency Fund,Car Purchase,Long-Term Security,No
2163,8342.75,7577.87,963.04,5,-198.16,0.49,Medium,High,Mutual Fund,Intermediate,Medium,Emergency Fund,Car Purchase,Long-Term Security,Yes
2164,17146.06,14671.95,744.47,5,1729.63,0.55,Long,Low,Mutual Fund,Intermediate,High,Emergency Fund,Education Fund,Wealth Accumulation,Yes
2165,10483.17,6816.83,2817.48,5,848.86,0.56,Long,High,Equity,Expert,High,Emergency Fund,Car Purchase,Long-Term Security,No
2166,19623.89,14197.58,4880.48,3,545.83,0.14,Long,High,Equity,Expert,Medium,Emergency Fund,Home Renovation,Long-Term Security,Yes
2167,13414.56,12061.3,814.91,5,538.35,0.24,Long,Moderate,Equity,Expert,Medium,Emergency Fund,Car Purchase,Long-Term Security,Yes
2168,4272.77,4527.23,561.45,2,-815.92,0.16,Long,Moderate,Mutual Fund,Expert,Medium,Short-Term Savings,Car Purchase,Wealth Accumulation,No
2169,14171.2,14023.66,678.28,3,-530.74,0.48,Long,High,Real Estate,Beginner,High,Short-Term Savings,Home Renovation,Wealth Accumulation,No
2170,7851.87,6750.33,1093.42,3,8.12,0.45,Long,High,Equity,Intermediate,High,Vacation,Home Renovation,Long-Term Security,Yes
2171,14353.89,10557.15,1033.0,4,2763.74,0.4,Medium,Low,Mutual Fund,Beginner,Medium,Vacation,Car Purchase,Retirement,No
2172,3253.54,2398.78,806.62,5,48.13,0.24,Medium,Low,Debt,Intermediate,Low,Short-Term Savings,Car Purchase,Wealth Accumulation,Yes
2173,5147.87,5516.56,203.31,2,-572.01,0.19,Medium,Moderate,Equity,Intermediate,Low,Vacation,Education Fund,Retirement,No
2174,17403.27,9145.56,5743.26,2,2514.45,0.71,Medium,Moderate,Debt,Beginner,Medium,Emergency Fund,Car Purchase,Wealth Accumulation,No
2175,6089.23,6955.05,79.07,4,-944.89,0.04,Short,Low,Debt,Beginner,Medium,Short-Term Savings,Education Fund,Wealth Accumulation,Yes
2176,17066.74,15903.54,246.1,2,917.1,0.53,Medium,Moderate,Mutual Fund,Beginner,High,Emergency Fund,Home Renovation,Wealth Accumulation,No
2177,7026.97,6624.6,1408.66,3,-1006.29,0.02,Long,High,Equity,Intermediate,Medium,Vacation,Home Renovation,Long-Term Security,No
2178,13571.87,7121.14,5875.62,1,575.11,0.16,Medium,Low,Debt,Beginner,High,Emergency Fund,Home Renovation,Retirement,No
2179,14494.71,12952.39,1513.31,3,29.01,0.23,Short,Low,Money Market,Intermediate,Low,Vacation,Car Purchase,Wealth Accumulation,Yes
2180,11227.79,9151.83,205.25,1,1870.71,0.71,Medium,High,Mutual Fund,Expert,Low,Short-Term Savings,Car Purchase,Retirement,No
2181,7495.59,4263.17,4095.51,2,-863.08,0.11,Long,Low,Mutual Fund,Expert,Medium,Emergency Fund,Education Fund,Wealth Accumulation,No
2182,5827.6,3966.55,513.9,5,1347.15,0.75,Medium,Moderate,Debt,Beginner,High,Short-Term Savings,Car Purchase,Long-Term Security,Yes
2183,2597.41,2801.84,293.23,1,-497.66,0.65,Medium,Moderate,Mutual Fund,Intermediate,Medium,Vacation,Car Purchase,Retirement,No
2184,7471.04,6406.36,1224.67,3,-159.99,0.54,Long,Low,Real Estate,Expert,Medium,Emergency Fund,Education Fund,Wealth Accumulation,Yes
2185,13756.93,10575.24,2019.54,3,1162.15,0.33,Medium,Moderate,Debt,Expert,Medium,Vacation,Home Renovation,Long-Term Security,Yes
2186,18889.49,10337.15,9146.07,3,-593.73,0.72,Short,Moderate,Debt,Beginner,Low,Emergency Fund,Home Renovation,Wealth Accumulation,Yes
2187,17681.68,17048.31,3656.17,3,-3022.79,0.42,Short,Low,Debt,Beginner,Low,Emergency Fund,Education Fund,Long-Term Security,No
2188,15789.17,15107.91,1423.2,4,-741.95,0.3,Long,High,Real Estate,Beginner,High,Vacation,Education Fund,Retirement,Yes
2189,16192.05,14558.73,1984.47,2,-351.15,0.47,Short,Low,Bonds,Beginner,Medium,Short-Term Savings,Education Fund,Wealth Accumulation,No
2190,13969.73,11618.21,2228.8,5,122.72,0.19,Medium,High,Equity,Expert,Medium,Emergency Fund,Education Fund,Long-Term Security,Yes
2191,6685.16,5227.53,2577.59,4,-1119.95,0.22,Short,Low,Debt,Beginner,Low,Short-Term Savings,Car Purchase,Long-Term Security,No
2192,18329.51,16233.09,3990.77,2,-1894.36,0.74,Long,High,Real Estate,Beginner,High,Short-Term Savings,Education Fund,Wealth Accumulation,No
2193,14073.18,9171.59,1910.89,1,2990.7,0.64,Short,Moderate,Debt,Beginner,Low,Short-Term Savings,Car Purchase,Retirement,No
2194,12087.93,13439.58,197.2,4,-1548.85,0.41,Short,Low,Debt,Beginner,Low,Short-Term Savings,Home Renovation,Wealth Accumulation,Yes
2195,3997.81,3528.93,292.21,4,176.67,0.33,Medium,Moderate,Mutual Fund,Intermediate,Low,Emergency Fund,Home Renovation,Wealth Accumulation,Yes
2196,10047.0,7055.76,1317.99,4,1673.25,0.65,Long,High,Mutual Fund,Intermediate,Medium,Short-Term Savings,Home Renovation,Retirement,Yes
2197,10286.45,8149.87,965.36,4,1171.22,0.46,Long,High,Real Estate,Beginner,High,Emergency Fund,Car Purchase,Wealth Accumulation,Yes
2198,17562.14,17978.28,2038.93,1,-2455.07,0.33,Long,High,Real Estate,Beginner,High,Short-Term Savings,Car Purchase,Retirement,No
2199,11839.67,7163.6,816.64,3,3859.44,0.41,Medium,Moderate,Mutual Fund,Expert,High,Short-Term Savings,Education Fund,Wealth Accumulation,Yes
2200,8847.21,6107.61,1746.62,4,992.98,0.19,Short,Moderate,Money Market,Beginner,Medium,Vacation,Home Renovation,Long-Term Security,Yes
2201,19582.41,18440.36,3161.85,2,-2019.81,0.16,Short,High,Debt,Intermediate,Low,Vacation,Car Purchase,Retirement,Yes
2202,3992.97,2815.32,574.81,3,602.84,0.79,Short,Moderate,Debt,Beginner,Low,Vacation,Home Renovation,Long-Term Security,No
2203,9605.87,9751.17,115.92,1,-261.22,0.78,Long,Low,Equity,Beginner,Medium,Emergency Fund,Home Renovation,Long-Term Security,Yes
2204,2756.44,1611.95,138.76,5,1005.73,0.34,Long,High,Equity,Beginner,High,Short-Term Savings,Home Renovation,Long-Term Security,No
2205,15318.27,15253.11,394.13,1,-328.96,0.41,Long,Moderate,Equity,Intermediate,High,Vacation,Home Renovation,Retirement,Yes
2206,18525.38,10085.75,10151.07,5,-1711.44,0.66,Long,High,Mutual Fund,Expert,High,Short-Term Savings,Car Purchase,Retirement,No
2207,7040.67,3577.97,3204.35,2,258.36,0.58,Long,High,Real Estate,Beginner,High,Emergency Fund,Home Renovation,Wealth Accumulation,Yes
2208,17450.15,18913.26,130.78,5,-1593.89,0.08,Medium,High,Debt,Expert,Low,Emergency Fund,Home Renovation,Wealth Accumulation,Yes
2209,7259.93,6373.28,914.57,4,-27.92,0.3,Short,Low,Debt,Beginner,Low,Emergency Fund,Education Fund,Wealth Accumulation,No
2210,18393.86,13403.38,2415.13,3,2575.36,0.2,Long,Low,Equity,Beginner,High,Vacation,Education Fund,Wealth Accumulation,Yes
2211,15571.31,10139.83,4939.78,3,491.7,0.79,Medium,Moderate,Mutual Fund,Beginner,Low,Emergency Fund,Home Renovation,Long-Term Security,No
2212,16488.32,14855.58,2577.65,4,-944.9,0.6,Short,Moderate,Debt,Expert,Low,Vacation,Education Fund,Retirement,No
2213,2324.12,1931.0,412.78,3,-19.66,0.04,Medium,Moderate,Equity,Beginner,Medium,Short-Term Savings,Home Renovation,Retirement,Yes
2214,19330.59,22124.6,337.19,1,-3131.2,0.72,Long,High,Mutual Fund,Expert,High,Emergency Fund,Car Purchase,Retirement,Yes
2215,15080.08,17177.57,126.57,4,-2224.07,0.74,Medium,High,Mutual Fund,Beginner,High,Vacation,Home Renovation,Long-Term Security,No
2216,7485.52,6832.53,1596.18,4,-943.19,0.27,Long,High,Equity,Expert,High,Vacation,Education Fund,Retirement,No
2217,16929.1,13337.86,6138.82,3,-2547.57,0.51,Long,High,Equity,Intermediate,Medium,Vacation,Car Purchase,Long-Term Security,Yes
2218,7067.38,5789.89,2540.68,5,-1263.19,0.55,Long,High,Equity,Expert,Medium,Vacation,Home Renovation,Wealth Accumulation,Yes
2219,17709.57,16710.95,266.16,2,732.46,0.58,Medium,Moderate,Mutual Fund,Intermediate,Medium,Short-Term Savings,Car Purchase,Retirement,No
2220,4026.45,2279.06,1888.74,5,-141.36,0.55,Short,Moderate,Money Market,Beginner,Medium,Emergency Fund,Home Renovation,Wealth Accumulation,No
